line,time_seconds,command,distance_xy_in,distance_xyz_in,estimated_ipm,bucket,raw
111,0.95,M3,0.1400230338194392,0.1400230338194392,840.1382029166351,planned,"M3, 32.3036, 22.2601, 0.4724"
112,0.96,M3,0.13543596272777877,0.13543596272777877,812.6157763666727,planned,"M3, 32.2115, 22.3594, 0.4724"
113,0.97,M3,0.13549059007916206,0.13549059007916206,812.9435404749723,planned,"M3, 32.1146, 22.4541, 0.4724"
114,0.98,M3,0.13550531354895412,0.13550531354895412,813.0318812937247,planned,"M3, 32.0133, 22.5441, 0.4724"
115,0.99,M3,0.13555943346001667,0.1355594334600167,813.3566007601002,planned,"M3, 31.9077, 22.6291, 0.4724"
116,1.0,M3,0.1355516875586546,0.1355516875586546,813.3101253519276,planned,"M3, 31.7982, 22.709, 0.4724"
117,1.01,M3,0.13546069540645617,0.13546069540645617,812.764172438737,planned,"M3, 31.685, 22.7834, 0.4724"
118,1.02,M3,0.1354354827953129,0.1354354827953129,812.6128967718774,planned,"M3, 31.5684, 22.8523, 0.4724"
119,1.03,M3,0.13553689534588187,0.1355368953458819,813.2213720752914,planned,"M3, 31.4485, 22.9155, 0.4724"
120,1.04,M3,0.13555294168700008,0.1355529416870001,813.3176501220006,planned,"M3, 31.3257, 22.9729, 0.4724"
121,1.05,M3,0.13543282467703618,0.13543282467703616,812.5969480622169,planned,"M3, 31.2004, 23.0243, 0.4724"
122,1.06,M3,0.13559103952695153,0.13559103952695153,813.5462371617092,planned,"M3, 31.0726, 23.0696, 0.4724"
123,1.07,M3,0.13546549376132558,0.1354654937613256,812.7929625679536,planned,"M3, 30.9429, 23.1087, 0.4724"
124,1.08,M3,0.13540771765302329,0.1354077176530233,812.4463059181398,planned,"M3, 30.8115, 23.1414, 0.4724"
125,1.09,M3,0.1355162720856789,0.1355162720856789,813.0976325140734,planned,"M3, 30.6786, 23.1679, 0.4724"
126,1.1,M3,0.13556850666729356,0.13556850666729356,813.4110400037613,planned,"M3, 30.5445, 23.1878, 0.4724"
127,1.11,M3,0.13547431490876638,0.13547431490876638,812.8458894525983,planned,"M3, 30.4097, 23.2013, 0.4724"
128,1.12,M3,0.13558082460289209,0.1355808246028921,813.4849476173528,planned,"M3, 30.2743, 23.2083, 0.4724"
129,1.13,M3,0.13920089798560814,0.13920089798560817,835.205387913649,planned,"M3, 30.1351, 23.2088, 0.4724"
130,1.14,M3,0.4717046745581412,0.4717046745581412,2830.228047348847,planned,"M3, 29.6634, 23.2067, 0.4724"
131,1.15,M3,0.006100819617067848,0.006100819617067848,36.604917702407086,acceptable_slow,"M3, 29.6573, 23.2068, 0.4724"
132,1.16,M3,0.4725843839993026,0.4725843839993026,2835.5063039958154,planned,"M3, 29.1849, 23.22, 0.4724"
133,1.17,M3,0.006003332407921665,0.006003332407921666,36.019994447529996,acceptable_slow,"M3, 29.1789, 23.2202, 0.4724"
134,1.18,M3,0.47324692286374187,0.47324692286374187,2839.481537182451,planned,"M3, 28.7065, 23.2485, 0.4724"
135,1.19,M3,0.005714017850861976,0.005714017850861976,34.284107105171856,acceptable_slow,"M3, 28.7008, 23.2489, 0.4724"
136,1.2,M3,0.47443449495162143,0.47443449495162143,2846.6069697097287,planned,"M3, 28.2283, 23.2917, 0.4724"
137,1.21,M3,0.005433231082884304,0.005433231082884304,32.59938649730582,acceptable_slow,"M3, 28.2229, 23.2923, 0.4724"
138,1.22,M3,0.4759017650734236,0.4759017650734236,2855.4105904405415,planned,"M3, 27.7504, 23.3491, 0.4724"
139,1.23,M3,0.005048762224544524,0.005048762224544524,30.292573347267144,acceptable_slow,"M3, 27.7454, 23.3498, 0.4724"
140,1.24,M3,0.4776570422384665,0.4776570422384665,2865.9422534307987,planned,"M3, 27.2729, 23.4198, 0.4724"
141,1.25,M3,0.004652956049652964,0.004652956049652964,27.91773629791778,acceptable_slow,"M3, 27.2683, 23.4205, 0.4724"
142,1.26,M3,0.4794640341047496,0.4794640341047496,2876.7842046284973,planned,"M3, 26.7959, 23.5025, 0.4724"
143,1.27,M3,0.004159326868617897,0.004159326868617897,24.955961211707383,acceptable_slow,"M3, 26.7918, 23.5032, 0.4724"
144,1.28,M3,0.48142870707924873,0.48142870707924873,2888.572242475492,planned,"M3, 26.3194, 23.596, 0.4724"
145,1.29,M3,0.003569313659517082,0.003569313659517082,21.415881957102492,acceptable_slow,"M3, 26.3159, 23.5967, 0.4724"
146,1.3,M3,0.4833075314952172,0.4833075314952172,2899.8451889713033,planned,"M3, 25.8435, 23.6988, 0.4724"
147,1.31,M3,0.0029832867780360474,0.002983286778036048,17.899720668216286,acceptable_slow,"M3, 25.8406, 23.6995, 0.4724"
148,1.32,M3,0.4850152265651017,0.48501522656510165,2910.0913593906103,planned,"M3, 25.3682, 23.8094, 0.4724"
149,1.33,M3,0.002376972864802278,0.002376972864802278,14.261837188813669,acceptable_slow,"M3, 25.3659, 23.81, 0.4724"
150,1.34,M3,0.48643371593671453,0.48643371593671453,2918.6022956202874,planned,"M3, 24.8935, 23.926, 0.4724"
151,1.35,M3,0.0016492422502475288,0.0016492422502475288,9.895453501485173,danger_slow,"M3, 24.8919, 23.9264, 0.4724"
152,1.36,M3,0.4875264197969176,0.4875264197969176,2925.1585187815053,planned,"M3, 24.4195, 24.0469, 0.4724"
153,1.37,M3,0.0009219544457271401,0.0009219544457271401,5.53172667436284,danger_slow,"M3, 24.4186, 24.0471, 0.4724"
154,1.38,M3,0.4882219372375646,0.4882219372375646,2929.3316234253875,planned,"M3, 23.9461, 24.17, 0.4724"
155,1.39,M3,0.00022360679774945783,0.00022360679774945783,1.341640786496747,danger_slow,"M3, 23.9459, 24.1701, 0.4724"
156,1.4,M3,0.4880830769448996,0.4880830769448996,2928.498461669398,planned,"M3, 23.4737, 24.2936, 0.4724"
157,1.41,M3,0.4871498434773453,0.4871498434773453,2922.8990608640715,planned,"M3, 23.0021, 24.4157, 0.4724"
158,1.42,M3,0.48577588453936255,0.48577588453936255,2914.6553072361753,planned,"M3, 22.5311, 24.5346, 0.4724"
159,1.43,M3,0.48384892270211555,0.48384892270211555,2903.093536212693,planned,"M3, 22.0608, 24.6483, 0.4724"
160,1.44,M3,0.48173342213302933,0.48173342213302933,2890.400532798176,planned,"M3, 21.5911, 24.7553, 0.4724"
161,1.45,M3,0.47932980295408417,0.47932980295408417,2875.978817724505,planned,"M3, 21.122, 24.8538, 0.4724"
162,1.46,M3,0.4767245011534429,0.4767245011534429,2860.3470069206573,planned,"M3, 20.6536, 24.9425, 0.4724"
163,1.47,M3,0.474258547629877,0.474258547629877,2845.5512857792623,planned,"M3, 20.1857, 25.0199, 0.4724"
164,1.48,M3,0.472010868518937,0.472010868518937,2832.065211113622,planned,"M3, 19.7182, 25.085, 0.4724"
165,1.49,M3,0.46996345602610273,0.46996345602610273,2819.7807361566165,planned,"M3, 19.2511, 25.1368, 0.4724"
166,1.5,M3,0.4682202259620993,0.4682202259620992,2809.3213557725953,planned,"M3, 18.7844, 25.1745, 0.4724"
167,1.51,M3,0.4670715790968233,0.4670715790968233,2802.4294745809398,planned,"M3, 18.3179, 25.1976, 0.4724"
168,1.52,M3,0.46647033131808086,0.46647033131808086,2798.8219879084854,planned,"M3, 17.8515, 25.2057, 0.4724"
169,1.53,M3,0.4664525270592927,0.4664525270592927,2798.715162355756,planned,"M3, 17.3851, 25.1987, 0.4724"
170,1.54,M3,0.467018468585558,0.46701846858555807,2802.1108115133484,planned,"M3, 16.9186, 25.1767, 0.4724"
171,1.55,M3,0.4681329405201078,0.4681329405201078,2808.7976431206466,planned,"M3, 16.4519, 25.1401, 0.4724"
172,1.56,M3,0.4698434845775756,0.4698434845775756,2819.0609074654535,planned,"M3, 15.9848, 25.0894, 0.4724"
173,1.57,M3,0.47177491455141995,0.47177491455141995,2830.64948730852,planned,"M3, 15.5174, 25.0253, 0.4724"
174,1.58,M3,0.4740299568592694,0.4740299568592694,2844.1797411556163,planned,"M3, 15.0496, 24.9487, 0.4724"
175,1.59,M3,0.4766561548957489,0.4766561548957489,2859.9369293744935,planned,"M3, 14.5811, 24.8609, 0.4724"
176,1.6,M3,0.47910897507769495,0.47910897507769495,2874.65385046617,planned,"M3, 14.1121, 24.763, 0.4724"
177,1.61,M3,0.4814808926634576,0.4814808926634576,2888.8853559807458,planned,"M3, 13.6425, 24.6567, 0.4724"
178,1.62,M3,0.48375508266063777,0.48375508266063777,2902.5304959638265,planned,"M3, 13.1722, 24.5434, 0.4724"
179,1.63,M3,0.4855811569655475,0.4855811569655475,2913.486941793285,planned,"M3, 12.7013, 24.4249, 0.4724"
180,1.64,M3,0.4871247889401651,0.48712478894016514,2922.748733640991,planned,"M3, 12.2297, 24.3029, 0.4724"
181,1.65,M3,0.4880830769448979,0.4880830769448979,2928.4984616693873,planned,"M3, 11.7575, 24.1794, 0.4724"
182,1.66,M3,0.00019999999999953388,0.00019999999999953388,1.1999999999972033,danger_slow,"M3, 11.7573, 24.1794, 0.4724"
183,1.67,M3,0.488175552439899,0.48817555243989896,2929.0533146393936,planned,"M3, 11.2849, 24.0563, 0.4724"
184,1.68,M3,0.0009219544457288741,0.0009219544457288741,5.531726674373244,danger_slow,"M3, 11.284, 24.0561, 0.4724"
185,1.69,M3,0.4875758915286934,0.4875758915286934,2925.455349172161,planned,"M3, 10.8116, 23.9354, 0.4724"
186,1.7,M3,0.0015524174696267324,0.0015524174696267326,9.314504817760396,danger_slow,"M3, 10.8101, 23.935, 0.4724"
187,1.71,M3,0.48652925914070166,0.48652925914070166,2919.17555484421,planned,"M3, 10.3377, 23.8186, 0.4724"
188,1.72,M3,0.002256102834535634,0.002256102834535634,13.536617007213804,acceptable_slow,"M3, 10.3355, 23.8181, 0.4724"
189,1.73,M3,0.4852489052022689,0.4852489052022689,2911.4934312136133,planned,"M3, 9.863, 23.7076, 0.4724"
190,1.74,M3,0.002886173937930806,0.002886173937930806,17.317043627584837,acceptable_slow,"M3, 9.8602, 23.7069, 0.4724"
191,1.75,M3,0.48343463880859927,0.4834346388085992,2900.6078328515955,planned,"M3, 9.3878, 23.6042, 0.4724"
192,1.76,M3,0.0035902646142035393,0.0035902646142035397,21.541587685221238,acceptable_slow,"M3, 9.3843, 23.6034, 0.4724"
193,1.77,M3,0.4815641286474739,0.4815641286474739,2889.3847718848433,planned,"M3, 8.9119, 23.5099, 0.4724"
194,1.78,M3,0.004060788100848675,0.004060788100848676,24.364728605092054,acceptable_slow,"M3, 8.9079, 23.5092, 0.4724"
195,1.79,M3,0.4797172709002667,0.4797172709002667,2878.3036254016006,planned,"M3, 8.4354, 23.4263, 0.4724"
196,1.8,M3,0.004554119014694744,0.004554119014694744,27.324714088168463,acceptable_slow,"M3, 8.4309, 23.4256, 0.4724"
197,1.81,M3,0.4777897654826849,0.4777897654826849,2866.73859289611,planned,"M3, 7.9584, 23.3547, 0.4724"
198,1.82,M3,0.005048762224545896,0.005048762224545896,30.29257334727538,acceptable_slow,"M3, 7.9534, 23.354, 0.4724"
199,1.83,M3,0.4759228929143884,0.4759228929143884,2855.53735748633,planned,"M3, 7.481, 23.2962, 0.4724"
200,1.84,M3,0.005433231082882146,0.005433231082882146,32.599386497292876,acceptable_slow,"M3, 7.4756, 23.2956, 0.4724"
201,1.85,M3,0.47453499344094763,0.47453499344094763,2847.209960645686,planned,"M3, 7.0031, 23.2517, 0.4724"
202,1.86,M3,0.008927485648265817,0.008927485648265817,53.564913889594905,acceptable_slow,"M3, 6.9942, 23.251, 0.4724"
203,1.87,M3,0.327325770448952,0.327325770448952,1963.954622693712,planned,"M3, 6.6672, 23.2364, 0.4724"
204,1.88,CG,1.165884069893916,1.165884069893916,6995.304419363495,planned,"CG, , 6.6549, 23.2362, -0.0084, 0.1873, , 1"
205,1.89,M3,0.32726858999910097,0.32726858999910097,1963.611539994606,planned,"M3, 6.3277, 23.2429, 0.4724"
206,1.9,CG,1.1659062002844218,1.1659062002844218,6995.437201706532,planned,"CG, , 6.3154, 23.2436, 0.0039, 0.1875, , 1"
207,1.91,M3,0.32730844779809776,0.32730844779809776,1963.8506867885867,planned,"M3, 5.9893, 23.2717, 0.4724"
208,1.92,CG,1.1656703529555226,1.1656703529555226,6994.022117733136,planned,"CG, , 5.9772, 23.2732, 0.0161, 0.1868, , 1"
209,1.93,M3,0.3273489269877024,0.32734892698770246,1964.0935619262148,planned,"M3, 5.6536, 23.3226, 0.4724"
210,1.94,CG,1.1653536721806061,1.1653536721806061,6992.122033083637,planned,"CG, , 5.6416, 23.3249, 0.0283, 0.1853, , 1"
211,1.95,M3,0.32735951185203094,0.3273595118520309,1964.1570711121851,planned,"M3, 5.3219, 23.3953, 0.4724"
212,1.96,CG,1.1656445321669977,1.1656445321669977,6993.867193001986,planned,"CG, , 5.3101, 23.3984, 0.0404, 0.1831, , 1"
213,1.97,M3,0.3273603519059694,0.3273603519059694,1964.1621114358165,planned,"M3, 4.9957, 23.4896, 0.4724"
214,1.98,CG,1.1660870762203472,1.1660870762203472,6996.522457322084,planned,"CG, , 4.9841, 23.4934, 0.0523, 0.1801, , 1"
215,1.99,M3,0.3273130764268357,0.3273130764268357,1963.8784585610144,planned,"M3, 4.6764, 23.605, 0.4724"
216,2.0,CG,1.1658303210134469,1.1658303210134469,6994.981926080681,planned,"CG, , 4.665, 23.6096, 0.0639, 0.1763, , 1"
